Ciudad;Fecha;Gravedad del Accidente;Cantidad;Cantidad_norm
BARRANQUILLA;2015-02-01;CON HERIDOS;89;7.304212232503745
BARRANQUILLA;2015-02-01;CON MUERTOS;5;0.41034900182605305
BARRANQUILLA;2015-02-01;SOLO DAÑOS;407;33.40240874864072
BARRANQUILLA;2015-03-01;CON HERIDOS;118;9.684236443094852
BARRANQUILLA;2015-03-01;CON MUERTOS;3;0.24620940109563183
BARRANQUILLA;2015-03-01;SOLO DAÑOS;484;39.721783376761934
BARRANQUILLA;2015-04-01;CON HERIDOS;96;7.878700835060219
BARRANQUILLA;2015-04-01;CON MUERTOS;5;0.41034900182605305
BARRANQUILLA;2015-04-01;SOLO DAÑOS;459;37.67003836763167
BARRANQUILLA;2015-05-01;CON HERIDOS;77;6.319374628121217
BARRANQUILLA;2015-05-01;CON MUERTOS;7;0.5744886025564743
BARRANQUILLA;2015-05-01;SOLO DAÑOS;452;37.0955497650752
BARRANQUILLA;2015-06-01;CON HERIDOS;89;7.304212232503745
BARRANQUILLA;2015-06-01;CON MUERTOS;11;0.9027678040173167
BARRANQUILLA;2015-06-01;SOLO DAÑOS;471;38.654875972014196
BARRANQUILLA;2015-07-01;CON HERIDOS;103;8.453189437616693
BARRANQUILLA;2015-07-01;CON MUERTOS;8;0.6565584029216849
BARRANQUILLA;2015-07-01;SOLO DAÑOS;458;37.58796856726646
BARRANQUILLA;2015-08-01;CON HERIDOS;112;9.191817640903588
BARRANQUILLA;2015-08-01;SOLO DAÑOS;486;39.885922977492356
BARRANQUILLA;2015-09-01;CON HERIDOS;95;7.796631034695008
BARRANQUILLA;2015-09-01;CON MUERTOS;4;0.32827920146084244
BARRANQUILLA;2015-09-01;SOLO DAÑOS;525;43.08664519173557
BARRANQUILLA;2015-10-01;CON HERIDOS;102;8.371119637251482
BARRANQUILLA;2015-10-01;CON MUERTOS;7;0.5744886025564743
BARRANQUILLA;2015-10-01;SOLO DAÑOS;516;42.34801698844868
BARRANQUILLA;2015-11-01;CON HERIDOS;99;8.12491023615585
BARRANQUILLA;2015-11-01;CON MUERTOS;4;0.32827920146084244
BARRANQUILLA;2015-11-01;SOLO DAÑOS;496;40.70662098114446
BARRANQUILLA;2015-12-01;CON HERIDOS;116;9.520096842364431
BARRANQUILLA;2015-12-01;CON MUERTOS;5;0.41034900182605305
BARRANQUILLA;2015-12-01;SOLO DAÑOS;488;40.05006257822278
BARRANQUILLA;2016-01-01;CON HERIDOS;76;6.211098906846592
BARRANQUILLA;2016-01-01;CON MUERTOS;1;0.08172498561640253
BARRANQUILLA;2016-01-01;SOLO DAÑOS;393;32.11791934724619
BARRANQUILLA;2016-02-01;CON HERIDOS;107;8.74457346095507
BARRANQUILLA;2016-02-01;CON MUERTOS;8;0.6537998849312202
BARRANQUILLA;2016-02-01;SOLO DAÑOS;463;37.83866834039437
BARRANQUILLA;2016-03-01;CON HERIDOS;101;8.254223547256656
BARRANQUILLA;2016-03-01;CON MUERTOS;4;0.3268999424656101
BARRANQUILLA;2016-03-01;SOLO DAÑOS;486;39.71834300957163
BARRANQUILLA;2016-04-01;CON HERIDOS;87;7.110073748627021
BARRANQUILLA;2016-04-01;CON MUERTOS;4;0.3268999424656101
BARRANQUILLA;2016-04-01;SOLO DAÑOS;500;40.86249280820127
BARRANQUILLA;2016-05-01;CON HERIDOS;103;8.41767351848946
BARRANQUILLA;2016-05-01;CON MUERTOS;11;0.8989748417804279
BARRANQUILLA;2016-05-01;SOLO DAÑOS;515;42.088367592447305
BARRANQUILLA;2016-06-01;CON HERIDOS;76;6.211098906846592
BARRANQUILLA;2016-06-01;CON MUERTOS;7;0.5720748993148177
BARRANQUILLA;2016-06-01;SOLO DAÑOS;488;39.881792980804434
BARRANQUILLA;2016-07-01;CON HERIDOS;89;7.273523719859825
BARRANQUILLA;2016-07-01;CON MUERTOS;5;0.4086249280820127
BARRANQUILLA;2016-07-01;SOLO DAÑOS;506;41.352842721899684
BARRANQUILLA;2016-08-01;CON HERIDOS;145;11.850122914378368
BARRANQUILLA;2016-08-01;CON MUERTOS;12;0.9806998273968304
BARRANQUILLA;2016-08-01;SOLO DAÑOS;524;42.82389246299493
BARRANQUILLA;2016-09-01;CON HERIDOS;125;10.215623202050317
BARRANQUILLA;2016-09-01;CON MUERTOS;14;1.1441497986296354
BARRANQUILLA;2016-09-01;SOLO DAÑOS;483;39.47316805272242
BARRANQUILLA;2016-10-01;CON HERIDOS;127;10.379073173283121
BARRANQUILLA;2016-10-01;CON MUERTOS;12;0.9806998273968304
BARRANQUILLA;2016-10-01;SOLO DAÑOS;480;39.22799309587322
BARRANQUILLA;2016-11-01;CON HERIDOS;124;10.133898216433915
BARRANQUILLA;2016-11-01;CON MUERTOS;8;0.6537998849312202
BARRANQUILLA;2016-11-01;SOLO DAÑOS;520;42.49699252052932
BARRANQUILLA;2016-12-01;CON HERIDOS;66;5.393849050682567
BARRANQUILLA;2016-12-01;CON MUERTOS;4;0.3268999424656101
BARRANQUILLA;2016-12-01;SOLO DAÑOS;487;39.80006799518803
BARRANQUILLA;2017-01-01;CON HERIDOS;68;5.536237524129447
BARRANQUILLA;2017-01-01;CON MUERTOS;6;0.4884915462467159
BARRANQUILLA;2017-01-01;SOLO DAÑOS;429;34.92714555664019
BARRANQUILLA;2017-02-01;CON HERIDOS;60;4.884915462467159
BARRANQUILLA;2017-02-01;CON MUERTOS;11;0.8955678347856458
BARRANQUILLA;2017-02-01;SOLO DAÑOS;497;40.46338308076963
BARRANQUILLA;2017-03-01;CON HERIDOS;61;4.966330720174945
BARRANQUILLA;2017-03-01;CON MUERTOS;7;0.5699068039545019
BARRANQUILLA;2017-03-01;SOLO DAÑOS;525;42.74301029658764
BARRANQUILLA;2017-04-01;CON HERIDOS;49;3.9893476276815134
BARRANQUILLA;2017-04-01;CON MUERTOS;2;0.16283051541557197
BARRANQUILLA;2017-04-01;SOLO DAÑOS;527;42.90584081200321
BARRANQUILLA;2017-05-01;CON HERIDOS;56;4.559254431636015
BARRANQUILLA;2017-05-01;CON MUERTOS;6;0.4884915462467159
BARRANQUILLA;2017-05-01;SOLO DAÑOS;541;44.04565441991222
BARRANQUILLA;2017-06-01;CON HERIDOS;48;3.9079323699737274
BARRANQUILLA;2017-06-01;CON MUERTOS;5;0.4070762885389299
BARRANQUILLA;2017-06-01;SOLO DAÑOS;487;39.649230503691776
BARRANQUILLA;2017-07-01;CON HERIDOS;76;6.1875595857917345
BARRANQUILLA;2017-07-01;CON MUERTOS;5;0.4070762885389299
BARRANQUILLA;2017-07-01;SOLO DAÑOS;515;41.928857719509786
BARRANQUILLA;2017-08-01;CON HERIDOS;155;12.619364944706827
BARRANQUILLA;2017-08-01;CON MUERTOS;3;0.24424577312335796
BARRANQUILLA;2017-08-01;SOLO DAÑOS;455;37.04394225704262
BARRANQUILLA;2017-09-01;CON HERIDOS;165;13.433517521784687
BARRANQUILLA;2017-09-01;CON MUERTOS;7;0.5699068039545019
BARRANQUILLA;2017-09-01;SOLO DAÑOS;426;34.68289978351683
BARRANQUILLA;2017-10-01;CON HERIDOS;189;15.387483706771551
BARRANQUILLA;2017-10-01;CON MUERTOS;4;0.32566103083114395
BARRANQUILLA;2017-10-01;SOLO DAÑOS;402;32.72893359852996
BARRANQUILLA;2017-11-01;CON HERIDOS;254;20.67947545777764
BARRANQUILLA;2017-11-01;CON MUERTOS;8;0.6513220616622879
BARRANQUILLA;2017-11-01;SOLO DAÑOS;427;34.76431504122461
BARRANQUILLA;2017-12-01;CON HERIDOS;240;19.539661849868637
BARRANQUILLA;2017-12-01;CON MUERTOS;8;0.6513220616622879
BARRANQUILLA;2017-12-01;SOLO DAÑOS;390;31.751950506036533
BOGOTA;2013-01-01;CON HERIDOS;945;12.313720768595086
BOGOTA;2013-01-01;CON MUERTOS;25;0.3257598086929917
BOGOTA;2013-01-01;SOLO DAÑOS;1672;21.786816005387287
BOGOTA;2013-02-01;CON HERIDOS;942;12.274629591551928
BOGOTA;2013-02-01;CON MUERTOS;14;0.18242549286807536
BOGOTA;2013-02-01;SOLO DAÑOS;1797;23.415615048852246
BOGOTA;2013-03-01;CON HERIDOS;961;12.5222070461586
BOGOTA;2013-03-01;CON MUERTOS;23;0.2996990239975524
BOGOTA;2013-03-01;SOLO DAÑOS;1927;25.1095660540558
BOGOTA;2013-04-01;CON HERIDOS;944;12.300690376247367
BOGOTA;2013-04-01;CON MUERTOS;18;0.23454706225895403
BOGOTA;2013-04-01;SOLO DAÑOS;1965;25.60472096326915
BOGOTA;2013-05-01;CON HERIDOS;941;12.261599199204207
BOGOTA;2013-05-01;CON MUERTOS;17;0.22151666991123437
BOGOTA;2013-05-01;SOLO DAÑOS;2157;28.106556294031325
BOGOTA;2013-06-01;CON HERIDOS;830;10.815225648607324
BOGOTA;2013-06-01;CON MUERTOS;19;0.24757745460667369
BOGOTA;2013-06-01;SOLO DAÑOS;1734;22.594700330945905
BOGOTA;2013-07-01;CON HERIDOS;857;11.167046241995756
BOGOTA;2013-07-01;CON MUERTOS;28;0.3648509857361507
BOGOTA;2013-07-01;SOLO DAÑOS;1776;23.14197680955013
BOGOTA;2013-08-01;CON HERIDOS;837;10.906438395041363
BOGOTA;2013-08-01;CON MUERTOS;26;0.3387902010407114
BOGOTA;2013-08-01;SOLO DAÑOS;1812;23.61107093406804
BOGOTA;2013-09-01;CON HERIDOS;822;10.710982509825568
BOGOTA;2013-09-01;CON MUERTOS;30;0.39091177043159003
BOGOTA;2013-09-01;SOLO DAÑOS;1831;23.858648388674712
BOGOTA;2013-10-01;CON HERIDOS;900;11.727353112947702
BOGOTA;2013-10-01;CON MUERTOS;22;0.2866686316498327
BOGOTA;2013-10-01;SOLO DAÑOS;1743;22.711973862075382
BOGOTA;2013-11-01;CON HERIDOS;766;9.981280538353266
BOGOTA;2013-11-01;CON MUERTOS;17;0.22151666991123437
BOGOTA;2013-11-01;SOLO DAÑOS;1645;21.434995411998855
BOGOTA;2013-12-01;CON HERIDOS;787;10.254918777655378
BOGOTA;2013-12-01;CON MUERTOS;35;0.4560637321701884
BOGOTA;2013-12-01;SOLO DAÑOS;1667;21.721664043648687
BOGOTA;2014-01-01;CON HERIDOS;677;8.705329732044293
BOGOTA;2014-01-01;CON MUERTOS;11;0.14144553478949368
BOGOTA;2014-01-01;SOLO DAÑOS;1335;17.166344449452186
BOGOTA;2014-02-01;CON HERIDOS;741;9.528285570819529
BOGOTA;2014-02-01;CON MUERTOS;22;0.28289106957898735
BOGOTA;2014-02-01;SOLO DAÑOS;1467;18.863690866926113
BOGOTA;2014-03-01;CON HERIDOS;467;6.00500588606305
BOGOTA;2014-03-01;CON MUERTOS;13;0.1671629047512198
BOGOTA;2014-03-01;SOLO DAÑOS;943;12.125739936953867
BOGOTA;2014-04-01;CON HERIDOS;12;0.15430421977035674
BOGOTA;2014-04-01;SOLO DAÑOS;48;0.617216879081427
BOGOTA;2014-05-01;CON HERIDOS;12;0.15430421977035674
BOGOTA;2014-05-01;SOLO DAÑOS;46;0.5914995091197008
BOGOTA;2014-06-01;CON HERIDOS;157;2.0188135419955007
BOGOTA;2014-06-01;SOLO DAÑOS;392;5.04060451249832
BOGOTA;2014-07-01;CON HERIDOS;96;1.234433758162854
BOGOTA;2014-07-01;CON MUERTOS;2;0.025717369961726123
BOGOTA;2014-07-01;SOLO DAÑOS;230;2.957497545598504
BOGOTA;2014-08-01;CON HERIDOS;50;0.6429342490431531
BOGOTA;2014-08-01;CON MUERTOS;3;0.038576054942589186
