Año,BARRANQUILLA,BOGOTA,CALI,MEDELLIN
2013,436.22498438206844,423.90472385601623,952.3279895020183,1897.6347822489736
2014,489.8004275551283,230.903406201358,264.16642570116693,2246.3022141858482
2015,562.7526211042492,525.550710052555,749.676874329327,2311.9137839941372
2016,585.2326219990586,569.6991767294264,731.3381421130098,2294.867582758514
2017,579.1881433331895,557.0533567866484,669.8444784006043,2145.5463369440595
